DATA API,DATA API,DATA API,DATA API,DATA API,DATA API,DATA API,DATA MANUAL,DATA MANUAL,DATA MANUAL
Datetime,Suhu (C),Kelembapan (%),Cuaca,Arah Angin,Kecepatan Angin (km/jam),Curah Hujan (mm),Waktu di ambil,Suhu (C),Cuaca
Jumat 26/09/2025 07:00,27,82,Berawan,NE (83),10.7,0,s 7:00,25,berawan
Jumat 26/09/2025 08:00,29,74,Berawan,NE (83),10.7,0,s 7:59,26,berawan
Jumat 26/09/2025 09:00,29,72,Cerah Berawan,E (119),15.3,0,s 9:01,26,berawan
Jumat 26/09/2025 10:00,30,67,Cerah Berawan,E (107),15.4,0,s 10:06,27,berawan
Jumat 26/09/2025 11:00,31,65,Cerah,E (107),15.4,0,s 10:57,29,cerah
Jumat 26/09/2025 12:00,31,64,Cerah,E (115),12.2,0,s 12:01,30,cerah
Jumat 26/09/2025 13:00,,,Tidak ada data,,,,,,
Jumat 26/09/2025 14:00,30,66,Cerah,E (115),12.2,0,s 14:03,31,cerah
Jumat 26/09/2025 15:00,30,69,Berawan,E (114),12.9,0,s 14:53,31,berawan
Jumat 26/09/2025 16:00,29,74,Berawan,E (114),12.9,0,s 15:59,30,berawan
Jumat 26/09/2025 17:00,28,77,Berawan,E (114),12.9,0,s 17:01,30,berawan
Jumat 26/09/2025 18:00,27,80,Berawan,E (102),9.9,0,s 17:49,29,cerah
Sabtu 27/09/2025 07:00,27,83,Berawan,E (99),13.2,0,s 7:07,27,cerah
Sabtu 27/09/2025 08:00,28,76,Cerah,E (99),13.2,0.1,s 7:55,29,cerah
Sabtu 27/09/2025 09:00,30,71,Cerah Berawan,E (108),16.7,0.1,s 8:56,30,cerah berawan
Sabtu 27/09/2025 10:00,30,71,Cerah Berawan,E (108),16.7,0.1,s 9:54,29,cerah berawan
Sabtu 27/09/2025 11:00,30,70,Berawan,E (108),16.7,0.7,s 11:05,31,berawan
Sabtu 27/09/2025 12:00,33,67,Berawan,E (111),16,0.1,s 12:10,31,berawan
Sabtu 27/09/2025 13:00,34,66,Berawan,E (111),16,0.1,s 12:40,31,berawan
Sabtu 27/09/2025 14:00,30,70,Hujan Ringan,E (114),15,2.5,s 14:01,30, berawan
Sabtu 27/09/2025 15:00,30,71,Berawan,E (94),14.2,0.1,s 15:26,30,berawan
Sabtu 27/09/2025 16:00,28,79,Berawan,E (94),14.2,0.1,s 16:15,30,berawan
Sabtu 27/09/2025 17:00,28,79,Petir,E (106),12.1,0,s 17:08,29,berawan
Sabtu 27/09/2025 18:00,26,86,Berawan,NE (75),7.5,0,s 17:50,28,hujan
Minggu 28/09/2025 07:00,28,82,Cerah Berawan,NE (83),8.8,0,s 6:49,27,cerah
Minggu 28/09/2025 08:00,29,75,Berawan,E (90),12.9,0.1,s 7:46,30,cerah berawan
Minggu 28/09/2025 09:00,30,72,Cerah Berawan,E (115),15.5,0,s 8:45,30,cerah berawan
Minggu 28/09/2025 10:00,31,66,Cerah Berawan,E (109),17.1,0,s 10:00,30,cerah berawan
Minggu 28/09/2025 11:00,32,67,Cerah Berawan,E (109),17.1,0.2,s 11:00,32,cerah berawan
Minggu 28/09/2025 12:00,30,72,Hujan Ringan,E (114),15.5,1.3,s 12:09,31,cerah berawan(data api tidak update)
Minggu 28/09/2025 13:00,33,67,Berawan,E (114),17.1,0.2,s 12:51,32,cerah berawan
Minggu 28/09/2025 14:00,32,67,Berawan,E (114),17.1,0,s 14:00,30,berawan
Minggu 28/09/2025 15:00,29,73,Hujan Ringan,E (114),13.9,1.3,,,
Minggu 28/09/2025 16:00,29,74,Cerah Berawan,E (117),16,0,,,
Minggu 28/09/2025 17:00,28,79,Cerah Berawan,E (117),16,0,,,
Minggu 28/09/2025 18:00,27,81,Cerah Berawan,NE (89),13.2,0,,,
Senin 29/09/2025 07:00,24,96,Hujan Petir,SW (264),4.1,1.9,,,
Senin 29/09/2025 08:00,25,90,Hujan Petir,SW (264),4.1,1.3,,,
Senin 29/09/2025 09:00,26,85,Hujan Ringan,NE (90),9,1.3,,,
Senin 29/09/2025 10:00,28,78,Hujan Ringan,E (127),8.5,1.3,,,
Senin 29/09/2025 11:00,29,73,Berawan,E (127),8.5,0,,,
Senin 29/09/2025 12:00,30,67,Cerah Berawan,SE (148),11.3,0,,,
Senin 29/09/2025 13:00,30,69,Berawan,E (124),9.5,0,,,
Senin 29/09/2025 14:00,30,70,Cerah,E (124),9.5,1,,,
Senin 29/09/2025 15:00,28,76,Hujan Ringan,SE (148),11,1.3,,,
Senin 29/09/2025 16:00,28,76,Cerah Berawan,E (135),12.1,1,,,
Senin 29/09/2025 17:00,28,80,Berawan,E (135),12.1,0,,,
Senin 29/09/2025 18:00,26,85,Cerah Berawan,E (102),5,0,,,
Selasa 30/09/2025 07:00,25,93,Berawan,NE (78),4,0,,,
Selasa 30/09/2025 08:00,28,82,Hujan Ringan,NE (78),4,1.2,,,
Selasa 30/09/2025 09:00,30,71,Berawan,NE (65),6.8,0.2,,,
Selasa 30/09/2025 10:00,30,69,Hujan Ringan,NE (78),4,1.2,,,
Selasa 30/09/2025 11:00,31,66,Hujan Petir,E (113),10.5,1.2,,,
Selasa 30/09/2025 12:00,31,66,Cerah,E (117),12.4,0.2,,,
Selasa 30/09/2025 13:00,29,77,Hujan Petir,E (113),10.5,1.2,,,
Selasa 30/09/2025 14:00,29,77,Petir,E (113),10.5,0.3,,,
Selasa 30/09/2025 15:00,28,83,Berawan,E (117),12.4,0.9,,,
Selasa 30/09/2025 16:00,27,85,Petir,E (113),10.5,0.3,,,
Selasa 30/09/2025 17:00,27,89,Berawan,E (103),7.4,0.3,,,
Selasa 30/09/2025 18:00,26,89,Berawan,SE (175),2,0.9,,,
